station,hour,minute,day_of_week,predicted_bikes
41 - Instituto de Artes,0,0,Segunda,0
41 - Instituto de Artes,0,0,Terça,0
41 - Instituto de Artes,0,0,Quarta,0
41 - Instituto de Artes,0,0,Quinta,0
41 - Instituto de Artes,0,0,Sexta,0
41 - Instituto de Artes,0,0,Sábado,0
41 - Instituto de Artes,0,0,Domingo,0
41 - Instituto de Artes,0,15,Segunda,0
41 - Instituto de Artes,0,15,Terça,0
41 - Instituto de Artes,0,15,Quarta,0
41 - Instituto de Artes,0,15,Quinta,0
41 - Instituto de Artes,0,15,Sexta,0
41 - Instituto de Artes,0,15,Sábado,0
41 - Instituto de Artes,0,15,Domingo,0
41 - Instituto de Artes,0,30,Segunda,0
41 - Instituto de Artes,0,30,Terça,0
41 - Instituto de Artes,0,30,Quarta,0
41 - Instituto de Artes,0,30,Quinta,0
41 - Instituto de Artes,0,30,Sexta,0
41 - Instituto de Artes,0,30,Sábado,0
41 - Instituto de Artes,0,30,Domingo,0
41 - Instituto de Artes,0,45,Segunda,0
41 - Instituto de Artes,0,45,Terça,0
41 - Instituto de Artes,0,45,Quarta,0
41 - Instituto de Artes,0,45,Quinta,0
41 - Instituto de Artes,0,45,Sexta,0
41 - Instituto de Artes,0,45,Sábado,0
41 - Instituto de Artes,0,45,Domingo,0
41 - Instituto de Artes,1,0,Segunda,0
41 - Instituto de Artes,1,0,Terça,0
41 - Instituto de Artes,1,0,Quarta,0
41 - Instituto de Artes,1,0,Quinta,0
41 - Instituto de Artes,1,0,Sexta,0
41 - Instituto de Artes,1,0,Sábado,0
41 - Instituto de Artes,1,0,Domingo,0
41 - Instituto de Artes,1,15,Segunda,0
41 - Instituto de Artes,1,15,Terça,0
41 - Instituto de Artes,1,15,Quarta,0
41 - Instituto de Artes,1,15,Quinta,0
41 - Instituto de Artes,1,15,Sexta,0
41 - Instituto de Artes,1,15,Sábado,0
41 - Instituto de Artes,1,15,Domingo,0
41 - Instituto de Artes,1,30,Segunda,0
41 - Instituto de Artes,1,30,Terça,0
41 - Instituto de Artes,1,30,Quarta,0
41 - Instituto de Artes,1,30,Quinta,0
41 - Instituto de Artes,1,30,Sexta,0
41 - Instituto de Artes,1,30,Sábado,0
41 - Instituto de Artes,1,30,Domingo,0
41 - Instituto de Artes,1,45,Segunda,0
41 - Instituto de Artes,1,45,Terça,0
41 - Instituto de Artes,1,45,Quarta,0
41 - Instituto de Artes,1,45,Quinta,0
41 - Instituto de Artes,1,45,Sexta,0
41 - Instituto de Artes,1,45,Sábado,0
41 - Instituto de Artes,1,45,Domingo,0
41 - Instituto de Artes,2,0,Segunda,0
41 - Instituto de Artes,2,0,Terça,0
41 - Instituto de Artes,2,0,Quarta,0
41 - Instituto de Artes,2,0,Quinta,0
41 - Instituto de Artes,2,0,Sexta,0
41 - Instituto de Artes,2,0,Sábado,0
41 - Instituto de Artes,2,0,Domingo,0
41 - Instituto de Artes,2,15,Segunda,0
41 - Instituto de Artes,2,15,Terça,0
41 - Instituto de Artes,2,15,Quarta,0
41 - Instituto de Artes,2,15,Quinta,0
41 - Instituto de Artes,2,15,Sexta,0
41 - Instituto de Artes,2,15,Sábado,0
41 - Instituto de Artes,2,15,Domingo,0
41 - Instituto de Artes,2,30,Segunda,0
41 - Instituto de Artes,2,30,Terça,0
41 - Instituto de Artes,2,30,Quarta,0
41 - Instituto de Artes,2,30,Quinta,0
41 - Instituto de Artes,2,30,Sexta,0
41 - Instituto de Artes,2,30,Sábado,0
41 - Instituto de Artes,2,30,Domingo,0
41 - Instituto de Artes,2,45,Segunda,0
41 - Instituto de Artes,2,45,Terça,0
41 - Instituto de Artes,2,45,Quarta,0
41 - Instituto de Artes,2,45,Quinta,0
41 - Instituto de Artes,2,45,Sexta,0
41 - Instituto de Artes,2,45,Sábado,0
41 - Instituto de Artes,2,45,Domingo,0
41 - Instituto de Artes,3,0,Segunda,0
41 - Instituto de Artes,3,0,Terça,0
41 - Instituto de Artes,3,0,Quarta,0
41 - Instituto de Artes,3,0,Quinta,0
41 - Instituto de Artes,3,0,Sexta,0
41 - Instituto de Artes,3,0,Sábado,0
41 - Instituto de Artes,3,0,Domingo,0
41 - Instituto de Artes,3,15,Segunda,0
41 - Instituto de Artes,3,15,Terça,0
41 - Instituto de Artes,3,15,Quarta,0
41 - Instituto de Artes,3,15,Quinta,0
41 - Instituto de Artes,3,15,Sexta,0
41 - Instituto de Artes,3,15,Sábado,0
41 - Instituto de Artes,3,15,Domingo,0
41 - Instituto de Artes,3,30,Segunda,0
41 - Instituto de Artes,3,30,Terça,0
41 - Instituto de Artes,3,30,Quarta,0
41 - Instituto de Artes,3,30,Quinta,0
41 - Instituto de Artes,3,30,Sexta,0
